survey	xray_objid	old_sdss_dr8objid	new_sdss_dr8objid	RA	DEC	z_spec	eBV	class	SOFT_FLUX	hard_flux	full_flux	SDSS_REJ	petroRad_u	petroRad_g	petroRad_r	petroRad_i	petroRad_z	petroR90_u	petroR90_g	petroR90_r	petroR90_i	petroR90_z	probPSF	extinction_u	extinction_g	extinction_r	extinction_i	extinction_z	sdss_u_mag	sdss_u_err	sdss_g_mag	sdss_g_err	sdss_r_mag	sdss_r_err	sdss_i_mag	sdss_i_err	sdss_z_mag	sdss_z_err	galex_objid	galex_nuv_mag	galex_nuv_err	galex_fuv_mag	galex_fuv_err	ukidss_objid	ukidss_y_mag	ukidss_y_err	ukidss_j_mag	ukidss_j_err	ukidss_h_mag	ukidss_h_err	ukidss_k_mag	ukidss_k_err	wise_sigra	wise_sigdec	wise_cntr	wise_w1_mag	wise_w1_err	wise_w2_mag	wise_w2_err	wise_w3_mag	wise_w3_err	wise_w4_mag	wise_w4_err	wise_w1_snr	wise_w1_cov	wise_w2_snr	wise_w2_cov	wise_w3_snr	wise_w3_cov	wise_w4_snr	wise_w4_cov
XMM	673002301	1237663783656882401	1237667172385620189	351.6204	-0.2942862	0.7874	0.052982	QSO	1.154011e-14	0.0	4.206945e-14	no	1.477737	1.179784	1.195337	1.247717	0.9371566	1.606827	1.30711	0.9862993	1.500602	0.4071259	1	0.1949165	0.1434177	0.1040185	0.07887407	0.05592269	21.302910967	0.08888907	20.9422968089	0.02814829	20.6038137662	0.0334669	20.4614270737	0.04363374	20.1783263889	0.1223691	3784222292170514018	21.2263827565	0.04287028	23.1275765441	0.1728323	433834326775	-99.0	-99.0	-99.0	-99.0	-99.0	-99.0	19.6509520155	0.261985	0.3455	0.3656	3509100001241012866	18.9958060078	0.115	19.3220497847	0.283	17.826	9999.0	16.145	9999.0	16.2	12.858	8.8	12.708	2.4	12.91	-0.8	12.919
XMM	673002301	1237663783656947726	1237667172385685535	351.8004	-0.3043986	0.944338	0.022504	QSO	2.824817e-14	4.390026e-14	8.132905e-14	no	1.20049	1.194294	1.135862	1.062331	0.9611686	1.3402	1.296412	1.291597	1.273772	1.136269	1	0.1860645	0.1369045	0.09929456	0.07529206	0.05338301	18.8398926004	0.0181282	18.4930401552	0.007160165	18.1581371086	0.00724179	18.1643207168	0.008971046	17.9732512425	0.02099202	3784222292170514038	19.4650004617	0.01565012	20.5444295936	0.03577546	433834444520	18.6470998176	0.064855	18.6037475539	0.084434	-99.0	-99.0	17.7905338351	0.090947	0.1292	0.1324	3524100001241007177	17.7424969176	0.045	17.2207750378	0.03	17.359	0.175	15.595	0.326	32.5	12.827	32.3	12.881	9.6	12.868	2.7	12.686
XMM	673002301	1237663783657472353	1237667172386209993	353.0823	-0.3432244	1.242809	0.229282	QSO	8.945557e-15	0.0	2.911063e-14	no	8.128751	1.222464	1.007553	4.700159	1.01307	1.666515	1.350289	1.265063	1.1418	0.1692711	1	0.177448	0.1305646	0.09469631	0.07180534	0.05091089	20.6838047856	0.05467879	20.529874258	0.02108097	20.2309259806	0.02330676	20.2318924791	0.03245251	20.3829750281	0.1560258	2911860970597915995	20.7128889176	0.04113886	-99.0	-99.0	433834318946	17.3352556504	0.019756	17.0416016047	0.019519	16.7530962064	0.016842	16.9496821009	0.026297	0.4017	0.4218	3524100001241013106	19.5241960504	0.203	19.0475076004	0.205	18.313	0.429	15.806	9999.0	12.0	13.896	12.2	13.887	2.8	13.918	0.4	13.823
XMM	673002301	1237663784193949865	1237663277387481179	352.1892	0.08371609	1.524531	0.029335	QSO	1.982251e-14	0.0	7.279206e-14	no	1.175836	1.067813	1.277605	0.9753593	0.9582505	1.1686	1.300721	1.480916	1.3069	1.058398	1	0.2491872	0.1833495	0.1329804	0.100835	0.07149327	20.1017079162	0.03872614	19.7675284791	0.01312522	19.9109529354	0.01871479	19.1438795756	0.01542	19.1285172237	0.05381716	2417027961540577778	21.2720238755	0.04722914	-99.0	-99.0	433830895929	20.427088448	0.208663	20.8421633115	0.287874	-99.0	-99.0	-99.0	-99.0	0.3109	0.3187	3524100001241018786	18.963701008	0.097	18.5297342293	0.104	17.916	0.351	15.728	9999.0	15.7	10.855	15.0	10.807	6.5	10.923	0.9	10.669
XMM	673002301	1237663784194474281	1237667172923211989	353.3116	0.01909935	0.187221	0.024227	GALAXY	0.0	6.61305e-14	3.03965e-14	no	18.01374	6.677598	6.288026	6.39046	5.466271	10.5967	7.214501	7.007825	7.491727	5.217896	0	0.2023624	0.1488963	0.107992	0.08188707	0.05805895	20.0565118984	0.1139253	18.6180733404	0.01495613	17.4162403383	0.009393382	16.8725670037	0.009201576	16.5582396694	0.02781443	2911825786227918935	21.4887702378	0.08122195	22.1678196772	0.1267993	433832596407	20.0735784804	0.22686	20.5294881908	0.239351	-99.0	-99.0	19.1646820008	0.225333	0.1506	0.1563	3539100001241019452	17.5930660004	0.028	17.9282808892	0.064	17.772	0.308	15.798	9999.0	32.3	11.937	22.0	12.795	7.9	12.32	0.6	12.23
CSC	552	1237663457778795378	1237663457778795378	322.4877	0.03558039	0.556921	0.04725	QSO	1.226827e-14	0.0	3.090484e-14	no	1.362299	1.530817	1.996852	2.196562	2.112071	1.327828	1.444003	2.465964	2.629013	2.09735	0	0.2059529	0.1515382	0.1099081	0.08334003	0.05908912	22.0698595695	0.1950579	21.5372518177	0.04963984	20.5745492724	0.03355565	19.6126080328	0.02289413	19.3243881651	0.07458513	6396380444789578406	23.0221029575	0.3688821	22.7609756025	0.3784685	433871262560	21.1323519519	0.340804	20.1171773866	0.187675	20.1344922941	0.399303	19.5154927437	0.273873	0.2013	0.2082	3221100001241018631	18.3321913719	0.058	19.0383923306	0.127	18.031	9999.0	16.237	9999.0	27.2	17.607	12.5	17.781	2.0	15.821	-0.8	15.636
CSC	2101	1237663716017766538	1237667173466439846	7.858546	0.4735441	0.148662	0.096473	GALAXY	2.934115e-14	0.0	7.429802e-14	no	68.30271	6.092633	6.255696	6.171338	5.529737	9.204013	6.677666	7.453742	7.745217	8.108634	0	0.1237511	0.09105491	0.06604061	0.0500766	0.03550493	20.2885264848	0.1037947	18.5997099088	0.01344809	17.4698739362	0.008270585	16.9873703164	0.008805394	16.5414677825	0.0182609	2915168301574267556	21.5850536788	0.05981028	-99.0	-99.0	433828825986	19.0137113059	0.0947	19.3351813633	0.190547	19.7269554871	0.416745	20.3514721719	0.533614	0.134	0.1308	75100001241028833	17.2543210859	0.022	17.5748409653	0.05	17.761	9999.0	15.604	9999.0	35.9	12.949	28.0	12.73	3.5	12.782	0.4	13.194
CSC	3248	1237666408440004819	1237666661839274113	354.5479	0.3462647	0.27883	0.113747	QSO	1.566407e-13	1.244932e-13	4.015229e-13	no	1.925284	2.149821	2.592777	2.637469	2.197541	1.84002	2.908755	2.810522	3.010895	1.971643	0	0.1936023	0.1424507	0.1033171	0.07834225	0.05554563	19.8843917938	0.04588851	19.679225517	0.0151624	19.0798548619	0.01502959	18.8553911315	0.01745814	18.3754975203	0.04461015	2907709214693529512	21.118497013	0.04638774	21.4309699024	0.05990897	433828863686	-99.0	-99.0	-99.0	-99.0	19.7153074936	0.162229	-99.0	-99.0	0.2407	0.2426	3539100001241026727	18.6097601191	0.094	18.5920089948	0.167	17.966	0.373	15.348	9999.0	22.7	10.919	14.9	10.626	5.0	10.876	2.7	10.86
CSC	4100	1237663785283879099	1237676326577897809	29.14021	0.9635861	0.605019	0.030484	QSO	3.156248e-14	0.0	9.035822e-14	no	27.91336	1.826644	2.984454	3.333968	2.292502	5.450383	1.466759	2.727972	3.448981	1.466452	0	0.1426645	0.1049712	0.07613384	0.05772999	0.04093128	21.2393931435	0.3083919	20.44998742	0.06452444	20.446669194	0.07055088	19.8563942085	0.04802804	19.5913807187	0.1077304	3784890795240198784	20.3670168244	0.03090596	21.0099506314	0.04829676	433826446559	-99.0	-99.0	20.2825830534	0.123198	-99.0	-99.0	-99.0	-99.0	0.1879	0.1901	287101501241001683	18.4819814956	0.043	18.6754279961	0.083	18.302	9999.0	15.85	9999.0	28.3	22.51	17.9	22.746	2.1	21.79	2.5	22.019
CSC	4825	1237657189836914975	1237666660236525778	12.48781	-0.9685448	1.5956	0.069781	QSO	8.838109e-15	0.0	2.293906e-14	no	1.90052	1.824871	1.339549	1.50943	1.457124	1.874539	1.796381	1.64128	1.840589	1.888671	1	0.2092366	0.1539543	0.1116605	0.08466879	0.06003122	21.1362259697	0.08938187	20.8518938952	0.030808	20.6569407267	0.03805441	20.4597272912	0.04902363	20.0838898863	0.1309005	2417450174005646261	23.1087347884	0.2885301	-99.0	-99.0	433837770817	20.8471733506	0.348552	20.5075336736	0.166797	19.7704804762	0.181676	-99.0	-99.0	1.0702	1.1089	121001601241029654	20.6293060306	0.514	19.8454942495	9999.0	17.955	9999.0	15.729	9999.0	5.6	17.493	3.4	17.888	-0.3	8.396	-0.2	8.597
