z_best,z_ml,z_qso,survey,xray_objid,old_sdss_dr8objid,new_sdss_dr8objid,RA,DEC,z_spec,eBV,class,SOFT_FLUX,hard_flux,full_flux,SDSS_REJ,petroRad_u,petroRad_g,petroRad_r,petroRad_i,petroRad_z,petroR90_u,petroR90_g,petroR90_r,petroR90_i,petroR90_z,probPSF,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,sdss_u_mag,sdss_u_err,sdss_g_mag,sdss_g_err,sdss_r_mag,sdss_r_err,sdss_i_mag,sdss_i_err,sdss_z_mag,sdss_z_err,galex_objid,galex_nuv_mag,galex_nuv_err,galex_fuv_mag,galex_fuv_err,ukidss_objid,ukidss_y_mag,ukidss_y_err,ukidss_j_mag,ukidss_j_err,ukidss_h_mag,ukidss_h_err,ukidss_k_mag,ukidss_k_err,wise_sigra,wise_sigdec,wise_cntr,wise_w1_mag,wise_w1_err,wise_w2_mag,wise_w2_err,wise_w3_mag,wise_w3_err,wise_w4_mag,wise_w4_err,wise_w1_snr,wise_w1_cov,wise_w2_snr,wise_w2_cov,wise_w3_snr,wise_w3_cov,wise_w4_snr,wise_w4_cov
0.2464,0.2461,1.74,XMM,200480401,1237663782603260084,1237663524924162234,37.67707,-1.185483,0.232598,0.048439,QSO,1.358505E-13,2.996247E-13,4.297362E-13,no,2.158475,2.087278,1.892229,1.780408,2.137194,2.160229,2.206385,2.12641,1.981462,2.214529,False,0.1722393,0.1267321,0.09191665,0.06969761,0.04941647,19.93569,0.04337894,19.38777,0.01323528,18.66499,0.0105932,18.2303,0.0107513,18.02384,0.03105401,2417661280240277652,21.07909,0.04771309,21.09226,0.06684764,433838804716,-99,-99,-99,-99,18.82961,0.146833,18.58099,0.118205,0.1161,0.1148,378001601241027638,17.66401,0.026,17.56435,0.035,17.119,0.106,15.7,0.272,38.4,22.249,31.6,23.41,16.9,21.938,6.6,21.777
0.26,0.2606,1.14,CSC,8616,1237663784194146566,1237663277387677841,352.5977,0.136573,0.99394,0.024681,QSO,3.481186E-14,5.45054E-14,1.023449E-13,no,0.9803458,1.11006,0.9881746,0.8413087,0.7457625,1.040325,1.18188,1.179427,1.102532,0.6946816,True,0.250856,0.1845774,0.1338709,0.1015103,0.07197206,20.04983,0.03553745,19.78189,0.0125714,19.46167,0.01310286,19.48071,0.01677461,19.49345,0.06125743,2417027961542675570,20.53356,0.02846835,21.56021,0.07551262,433830871915,-99,-99,20.57953,0.212621,-99,-99,-99,-99,0.2346,0.235,3524100001241015734,18.60676,0.082,18.49179,0.127,18.415,0.504,15.502,9999,22.2,11.881,17.2,11.861,3.8,11.917,2.8,11.69
0.26,0.261,1.78,CSC,3248,1237666408440004819,1237666661839274113,354.5479,0.3462647,0.27883,0.113747,QSO,1.566407E-13,1.244932E-13,4.015229E-13,no,1.925284,2.149821,2.592777,2.637469,2.197541,1.84002,2.908755,2.810522,3.010895,1.971643,False,0.1936023,0.1424507,0.1033171,0.07834225,0.05554563,19.88439,0.04588851,19.67923,0.0151624,19.07985,0.01502959,18.85539,0.01745814,18.3755,0.04461015,2907709214693529512,21.1185,0.04638774,21.43097,0.05990897,433828863686,-99,-99,-99,-99,19.71531,0.162229,-99,-99,0.2407,0.2426,3539100001241026727,18.60976,0.094,18.59201,0.167,17.966,0.373,15.348,9999,22.7,10.919,14.9,10.626,5,10.876,2.7,10.86
0.26,0.261,1.78,XMM,42341301,1237666408440004819,1237666661839274113,354.5479,0.3462962,0.27883,0.113747,QSO,5.49418E-14,1.185832E-13,1.748614E-13,no,1.925284,2.149821,2.592777,2.637469,2.197541,1.84002,2.908755,2.810522,3.010895,1.971643,False,0.1936023,0.1424507,0.1033171,0.07834225,0.05554563,19.88439,0.04588851,19.67923,0.0151624,19.07985,0.01502959,18.85539,0.01745814,18.3755,0.04461015,2907709214693529512,21.1185,0.04638774,21.43097,0.05990897,433828863686,-99,-99,-99,-99,19.71531,0.162229,-99,-99,0.2407,0.2426,3539100001241026727,18.60976,0.094,18.59201,0.167,17.966,0.373,15.348,9999,22.7,10.919,14.9,10.626,5,10.876,2.7,10.86
0.26,0.2614,0.74,CSC,8610,1237666408438956246,1237663204373823697,352.0734,0.329751,0.450964,0.024471,QSO,3.804853E-14,0,8.607957E-14,no,3.699712,3.245075,4.183108,4.554134,5.47538,4.249901,3.18908,3.805554,5.563407,4.771389,False,0.2138897,0.157378,0.1141437,0.08655169,0.06136623,20.09009,0.07328787,19.69612,0.02074432,19.113,0.01989184,18.76169,0.02157681,18.30652,0.06339953,2417027961542677891,20.52931,0.03682836,20.75184,0.04364522,433828906458,21.0752,0.354642,20.61842,0.250259,20.39025,0.377573,-99,-99,0.1779,0.1851,3524100001241022865,17.97547,0.041,18.25964,0.083,17.868,0.282,15.442,9999,28.6,12.922,18.4,13.675,6.1,12.97,1.6,13.197
0.2617,0.2618,0.66,CSC,7750,1237663783136460894,1237663783136460894,29.2214,-0.7729145,0.614712,0.064594,QSO,4.584014E-14,0,1.110805E-13,no,1.350472,1.269474,1.133733,1.085586,1.462209,1.316076,1.346987,1.352694,1.377313,1.603914,True,0.1465567,0.107835,0.07821095,0.05930499,0.04204798,19.84181,0.03211293,19.5109,0.01168405,19.59109,0.01450453,19.40644,0.01607858,19.39715,0.04726259,3779331664651486527,19.76719,0.01919475,20.47403,0.03926791,433837197404,-99,-99,-99,-99,20.37648,0.3088,-99,-99,0.1509,0.1565,287001601241032072,18.25812,0.049,18.23355,0.058,18.521,0.375,15.96,9999,30.7,22.658,24.6,23.892,6.2,23.487,3.4,23.678
0.2656,0.2612,0.76,XMM,673002301,1237663783656947726,1237667172385685535,351.8004,-0.3043986,0.944338,0.022504,QSO,2.824817E-14,4.390026E-14,8.132905E-14,no,1.20049,1.194294,1.135862,1.062331,0.9611686,1.3402,1.296412,1.291597,1.273772,1.136269,True,0.1860645,0.1369045,0.09929456,0.07529206,0.05338301,18.83989,0.0181282,18.49304,0.007160165,18.15814,0.00724179,18.16432,0.008971046,17.97325,0.02099202,3784222292170514038,19.465,0.01565012,20.54443,0.03577546,433834444520,18.6471,0.064855,18.60375,0.084434,-99,-99,17.79053,0.090947,0.1292,0.1324,3524100001241007177,17.7425,0.045,17.22078,0.03,17.359,0.175,15.595,0.326,32.5,12.827,32.3,12.881,9.6,12.868,2.7,12.686
0.28,0.2804,0.9,XMM,673002301,1237663783657013416,1237667172385751173,351.9903,-0.3501216,1.068862,0.060462,QSO,3.499657E-14,6.881572E-14,1.090808E-13,no,1.206179,1.272834,1.07919,1.059271,0.8605544,1.214839,1.399872,1.176109,1.199433,0.9604988,True,0.215682,0.1586968,0.1151001,0.08727694,0.06188044,20.28454,0.04099642,19.99306,0.01489628,19.56224,0.01525801,19.67042,0.02221785,19.76049,0.08233088,3784222292170513335,20.80814,0.03080722,21.61038,0.07526187,433834397573,20.75917,0.384026,-99,-99,-99,-99,-99,-99,0.2575,0.2668,3524100001241008704,18.80153,0.078,18.36569,0.085,18.029,0.352,15.448,9999,18.5,11.815,18,10.918,4,10.98,1.7,10.826
0.2833,0.283,1.78,XMM,673002301,1237663783657406518,1237667172386144295,352.9128,-0.2550008,0.801033,0.077713,QSO,7.799201E-14,1.062368E-13,2.290714E-13,no,1.325762,1.288246,1.061123,13.74012,1.380724,1.392215,1.356007,1.240427,1.284957,1.552807,True,0.1729253,0.1272368,0.09228271,0.06997518,0.04961328,18.57281,0.01594963,18.21695,0.0063431,18.12488,0.007249889,18.20715,0.009085331,18.07897,0.02414897,2911860970600014410,18.55245,0.01108879,19.30963,0.02289535,433834360150,19.33228,0.150096,19.13498,0.155084,18.81633,0.196573,19.22204,0.283857,0.0997,0.1007,3524100001241012878,17.13004,0.019,16.76137,0.024,16.53,0.088,15.298,0.242,37.7,13.857,40.6,13.523,19.6,13.954,6.7,13.835
0.2868,0.2622,3.56,CSC,4963,1237666338116600005,1237666338116600005,19.7112,-1.037459,0.175272,0.032112,GALAXY,0,0,6.585753E-15,no,11.30562,2.768233,2.060734,2.143669,7.306396,3.493458,2.931936,2.606978,2.73004,2.354148,False,0.183824,0.135256,0.0980989,0.07438543,0.05274019,20.56528,0.07264392,19.28852,0.01337599,18.4398,0.008880146,17.90089,0.008637132,17.64881,0.0211361,6473328666547848345,21.60369,0.3733373,21.90366,0.4924254,433838634637,-99,-99,-99,-99,17.61295,0.056087,16.35036,0.063645,0.1659,0.1679,196001601241030683,17.95842,0.074,18.21571,0.1,16.989,0.126,15.801,0.393,30,12.871,19.8,12.511,13.1,12.903,3.7,12.865
